speakerid_x,age,age_onset,L1,L1_coded,sex,Eng_experience,typology,vowels,WER,MER,norm_area
1462,21,14,Dutch,6,1,82,0,13,0,0,1282.01888
1468,22,14,Dutch,6,1,81,0,13,0,0,20.1444706
929,41,14,Dutch,6,0,81,0,13,0,0,129.459039
633,32,12,French,7,0,83,0,12,0.231884058,0.228571429,177.763004
1643,22,10,French,7,0,90,0,12,0.202898551,0.197183099,713.645282
811,20,9,French,7,0,92,0,12,0.173913043,0.169014085,1019.04798
1062,28,15,French,7,0,81,0,12,0.130434783,0.128571429,287.720722
1945,20,11,French,7,1,85,0,12,0.115942029,0.115942029,872.573269
1427,28,13,French,7,0,83,0,12,0.115942029,0.115942029,710.791048
628,19,12,French,7,0,84,0,12,0.101449275,0.101449275,680.783743
1662,66,12,French,7,1,83,0,12,0.101449275,0.1,676.092289
1306,42,14,French,7,0,81,0,12,0.072463768,0.072463768,1041.6612
1938,20,5,French,7,1,86,0,12,0.057971014,0.057971014,850.582917
181,22,11,French,7,1,84,0,12,0.057971014,0.056338028,1104.80587
1751,67,14,French,7,1,81,0,12,0.057971014,0.057971014,1022.08271
514,31,11,French,7,0,84,0,12,0.043478261,0.043478261,591.490896
179,20,12,French,7,1,83,0,12,0.043478261,0.043478261,1043.32645
755,39,12,French,7,0,83,0,12,0.043478261,0.043478261,539.826275
1429,44,13.5,French,7,1,82,0,12,0.043478261,0.043478261,832.783402
1189,27,10,French,7,0,90,0,12,0.028985507,0.028985507,891.631405
500,31,10,French,7,0,90,0,12,0.028985507,0.028985507,854.391957
1304,32,10,French,7,1,90,0,12,0.028985507,0.028985507,779.362716
1021,54,10,French,7,1,90,0,12,0.014492754,0.014492754,1549.09519
1535,22,11,French,7,0,84,0,12,0.014492754,0.014492754,332.761707
860,20,12,French,7,0,83,0,12,0.014492754,0.014492754,1178.42515
629,23,14,French,7,1,81.5,0,12,0.014492754,0.014492754,1176.24027
1846,25,8,French,7,1,95,0,12,0,0,1194.49563
1830,19,10,French,7,1,91,0,12,0,0,992.499347
1729,39,12,French,7,0,83,0,12,0,0,1413.39839
1255,24,11,German,8,0,84,0,8,0.144927536,0.144927536,1117.9611
1452,77,24,German,8,1,74,0,8,0.144927536,0.144927536,1509.63108
1879,28,11,German,8,0,84,0,8,0.130434783,0.130434783,1161.58164
545,25,10,German,8,0,90,0,8,0.115942029,0.115942029,859.899575
1685,21,10,German,8,1,90,0,8,0.101449275,0.1,1370.11274
1619,53,12,German,8,1,83,0,8,0.086956522,0.086956522,1690.10371
635,24,10,German,8,0,90,0,8,0.072463768,0.072463768,101.223195
1494,23,10,German,8,0,90,0,8,0.043478261,0.042857143,1219.46178
1877,39,10,German,8,0,90,0,8,0.043478261,0.043478261,1254.39995
640,20,11,German,8,1,84,0,8,0.043478261,0.043478261,12.9485322
1994,18,14,German,8,1,81,0,8,0.043478261,0.043478261,1231.26788
616,22,8,German,8,0,92,0,8,0.028985507,0.028985507,5.29230251
192,19,11,German,8,1,85,0,8,0.028985507,0.028985507,1208.98557
191,19,12,German,8,1,84,0,8,0.028985507,0.028985507,1377.32608
651,29,14,German,8,1,81,0,8,0.028985507,0.028571429,1429.61427
1383,27,10,German,8,0,90,0,8,0.014492754,0.014492754,1776.17493
882,53,10,German,8,1,90,0,8,0.014492754,0.014492754,1330.66323
928,19,11,German,8,1,84,0,8,0.014492754,0.014492754,1233.79608
501,20,11,German,8,0,84,0,8,0.014492754,0.014492754,633.6946
1443,21,11,German,8,1,84,0,8,0.014492754,0.014492754,254.737047
881,31,11,German,8,1,84,0,8,0.014492754,0.014285714,2219.8771
1092,21,12,German,8,1,83,0,8,0.014492754,0.014492754,1849.74567
190,29,12,German,8,1,83,0,8,0.014492754,0.014492754,1447.24704
1707,29,12,German,8,1,83,0,8,0.014492754,0.014492754,6959.49489
189,48,12,German,8,1,83,0,8,0.014492754,0.014492754,1797.18976
1972,51,11,German,8,1,84,0,8,0,0,1679.12301
193,47,12,German,8,0,83,0,8,0,0,878.95703
936,41,16,German,8,0,81,0,8,0,0,1926.8698
1043,20,8,Italian,10,0,92,0,7,0.188405797,0.188405797,963.980992
1543,33,10,Italian,10,1,92,0,7,0.188405797,0.188405797,130.6654
2020,78,50,Italian,10,1,55,0,7,0.188405797,0.180555556,1369.14269
733,20,8,Italian,10,0,92,0,7,0.173913043,0.173913043,917.372413
1741,23,11,Italian,10,0,84,0,7,0.144927536,0.14084507,693.842738
1686,21,8,Italian,10,1,92,0,7,0.130434783,0.128571429,1097.51927
1679,25,6,Italian,10,0,94,0,7,0.115942029,0.115942029,567.755154
761,20,8,Italian,10,0,92,0,7,0.115942029,0.115942029,1219.59437
995,28,14,Italian,10,0,83,0,7,0.101449275,0.101449275,210.25581
553,24,8,Italian,10,0,92,0,7,0.086956522,0.085714286,358.057237
1114,19,11,Italian,10,0,85,0,7,0.086956522,0.086956522,760.519986
220,47,11,Italian,10,1,84,0,7,0.086956522,0.085714286,1847.47962
627,48,12,Italian,10,0,84,0,7,0.086956522,0.083333333,1531.41736
473,32,15,Italian,10,1,81,0,7,0.086956522,0.085714286,1309.07551
1984,49,14,Italian,10,0,81,0,7,0.072463768,0.072463768,650.390535
1123,32,15,Italian,10,0,80,0,7,0.072463768,0.072463768,1252.0691
641,30,18,Italian,10,0,80,0,7,0.072463768,0.072463768,700.944323
218,46,18,Italian,10,0,77,0,7,0.072463768,0.070422535,1442.31651
1406,23,6,Italian,10,1,94,0,7,0.057971014,0.057971014,1387.18656
619,18,8,Italian,10,0,94,0,7,0.057971014,0.057971014,831.409867
1489,49,11,Italian,10,0,84,0,7,0.057971014,0.057971014,1166.88081
1976,59,23,Italian,10,1,68,0,7,0.057971014,0.057142857,971.524018
1175,23,6,Italian,10,0,96.5,0,7,0.043478261,0.043478261,819.225616
942,40,14,Italian,10,0,81,0,7,0.043478261,0.043478261,910.797987
1322,40,3.5,Italian,10,0,88,0,7,0.028985507,0.028169014,617.805401
839,48,15,Italian,10,0,80,0,7,0.028985507,0.028985507,1176.59291
589,43,10,Italian,10,0,90,0,7,0.014492754,0.014492754,2199.15463
1177,34,14,Italian,10,1,81,0,7,0.014492754,0.014492754,1267.88908
681,38,14,Italian,10,1,81,0,7,0.014492754,0.014492754,1232.51007
219,55,21,Italian,10,0,70,0,7,0.014492754,0.014492754,299.898585
1124,42,20,Italian,10,0,77,0,7,0,0,985.345277
440,52,25,Italian,10,0,67,0,7,0,0,1369.35413
1610,44,13,Japanese,11,1,82,1,5,0.15942029,0.15942029,1188.62404
2123,21,13,Japanese,11,1,83,1,5,0.144927536,0.142857143,215.147105
1046,29,13,Japanese,11,1,82,1,5,0.144927536,0.144927536,1149.96439
827,26,12,Japanese,11,1,83,1,5,0.130434783,0.125,524.471248
543,24,13,Japanese,11,0,82,1,5,0.130434783,0.126760563,458.046896
224,20,15,Japanese,11,0,81,1,5,0.130434783,0.126760563,1217.80016
222,27,12,Japanese,11,1,83,1,5,0.115942029,0.112676056,783.342651
1948,40,13,Japanese,11,1,82,1,5,0.101449275,0.101449275,938.430322
1991,44,13,Japanese,11,1,82,1,5,0.086956522,0.086956522,1308.66218
221,25,12,Japanese,11,1,83,1,5,0.072463768,0.071428571,1934.13478
1365,36,12,Japanese,11,0,83,1,5,0.072463768,0.072463768,1201.85878
1382,37,12,Japanese,11,1,83,1,5,0.072463768,0.072463768,1030.71256
1942,24,5,Japanese,11,0,97,1,5,0.057971014,0.057142857,777.305176
225,25,12,Japanese,11,1,83,1,5,0.057971014,0.057142857,1202.01835
223,49,12,Japanese,11,1,83,1,5,0.043478261,0.042253521,1640.07308
1847,53,13,Japanese,11,1,82,1,5,0.043478261,0.042857143,780.942582
1381,28,11,Japanese,11,0,85,1,5,0.014492754,0.014285714,1782.15699
1521,45,12,Japanese,11,0,83,1,5,0.014492754,0.014492754,2056.67337
1626,52,13,Japanese,11,1,82,1,5,0.014492754,0.014492754,27.7390591
1684,57,13,Japanese,11,1,82,1,5,0.014492754,0.014492754,1649.58867
1833,21,14,Japanese,11,0,82,1,5,0.014492754,0.014492754,359.361882
1537,25,3,Japanese,11,1,50,1,5,0,0,1482.18812
226,30,10,Japanese,11,1,95,1,5,0,0,532.195545
227,18,12,Japanese,11,0,84,1,5,0,0,1219.24274
486,25,12,Japanese,11,0,83,1,5,0,0,1198.67627
1881,69,12,Japanese,11,1,83,1,5,0,0,235.359131
1987,52,13,Japanese,11,1,82,1,5,0,0,1907.7347
1663,62,13,Korean,12,1,82,0,10,0.333333333,0.319444444,852.639833
2098,22,7,Korean,12,1,93,0,10,0.260869565,0.25,612.234584
238,29,13,Korean,12,0,82,0,10,0.231884058,0.216216216,1638.16251
1007,21,8,Korean,12,0,92,0,10,0.217391304,0.214285714,1145.07924
608,31,31,Korean,12,0,57,0,10,0.217391304,0.217391304,953.111108
243,21,12,Korean,12,1,84,0,10,0.188405797,0.188405797,1082.77213
1118,21,14,Korean,12,1,82,0,10,0.188405797,0.185714286,1137.45719
1862,55,14,Korean,12,0,81,0,10,0.188405797,0.185714286,103.817438
483,34,13,Korean,12,0,82,0,10,0.173913043,0.166666667,176.871173
559,26,14,Korean,12,0,81,0,10,0.130434783,0.130434783,1032.1971
1690,49,14,Korean,12,1,81,0,10,0.130434783,0.128571429,1456.7719
240,19,17,Korean,12,1,79,0,10,0.130434783,0.126760563,1026.37549
1005,42,40,Korean,12,0,54,0,10,0.130434783,0.126760563,1064.82221
1145,19,8,Korean,12,1,93,0,10,0.115942029,0.115942029,738.536528
1142,21,12,Korean,12,0,83,0,10,0.115942029,0.114285714,333.74341
1815,48,12,Korean,12,0,83,0,10,0.115942029,0.114285714,1441.99207
1982,28,13,Korean,12,0,82,0,10,0.115942029,0.115942029,776.260401
452,39,13,Korean,12,1,82,0,10,0.115942029,0.114285714,628.821992
1946,50,12,Korean,12,1,83,0,10,0.101449275,0.1,1293.97263
2075,32,27,Korean,12,0,69,0,10,0.101449275,0.101449275,1059.13325
1196,49,12,Korean,12,1,83,0,10,0.086956522,0.085714286,1427.01987
1971,49,14,Korean,12,0,81,0,10,0.086956522,0.085714286,680.544597
1624,51,14,Korean,12,0,81,0,10,0.086956522,0.084507042,1674.43862
1715,35,28,Korean,12,1,63,0,10,0.086956522,0.084507042,1424.48539
1838,51,12,Korean,12,1,83,0,10,0.072463768,0.071428571,2009.48122
1006,30,13,Korean,12,1,82,0,10,0.072463768,0.072463768,704.051548
2133,57,13,Korean,12,1,82,0,10,0.072463768,0.071428571,1586.78141
1943,21,17,Korean,12,1,78,0,10,0.072463768,0.072463768,1029.17456
1814,20,11,Korean,12,1,85,0,10,0.057971014,0.057142857,1099.90225
242,50,12,Korean,12,1,83,0,10,0.057971014,0.057142857,1799.66279
1722,30,13,Korean,12,1,82,0,10,0.057971014,0.057971014,2043.85711
1370,42,13,Korean,12,0,82,0,10,0.057971014,0.057971014,1769.1108
239,23,14,Korean,12,1,81,0,10,0.057971014,0.057971014,1113.21269
2015,21,21,Korean,12,1,73,0,10,0.057971014,0.057971014,1039.00702
1696,18,7,Korean,12,1,97,0,10,0.043478261,0.043478261,613.714738
1687,19,8,Korean,12,1,92,0,10,0.043478261,0.042857143,1092.94716
1386,34,12,Korean,12,1,83,0,10,0.043478261,0.043478261,1152.97949
2058,23,10,Korean,12,0,92,0,10,0.028985507,0.028985507,1777.45276
474,34,12,Korean,12,0,83,0,10,0.028985507,0.028985507,1470.15346
759,50,12,Korean,12,1,83,0,10,0.028985507,0.028571429,1309.16204
1952,20,13,Korean,12,0,83,0,10,0.028985507,0.028571429,1074.13628
2134,25,16,Korean,12,0,80,0,10,0.028985507,0.028571429,776.63331
892,22,8,Korean,12,1,92,0,10,0.014492754,0.014492754,1425.399
1848,25,10,Korean,12,0,90,0,10,0.014492754,0.014492754,1124.66279
2158,40,12,Korean,12,0,83,0,10,0.014492754,0.014492754,1689.19224
1843,27,14,Korean,12,1,81,0,10,0.014492754,0.014285714,1599.77104
1950,26,3,Korean,12,0,85,0,10,0,0,1177.1267
1117,25,7,Korean,12,0,93,0,10,0,0,847.930319
244,32,10,Korean,12,0,90,0,10,0,0,1974.08346
1126,58,13,Korean,12,1,82,0,10,0,0,1690.05303
241,29,15,Korean,12,1,81,0,10,0,0,1469.9566
1507,23,21,Korean,12,0,69,0,10,0,0,25.2030187
1616,47,16,Mandarin,13,1,79,2,6,0.463768116,0.426666667,1389.47068
1631,42,12,Mandarin,13,1,83,2,6,0.347826087,0.307692308,1420.87406
1617,24,15,Mandarin,13,1,80,2,6,0.289855072,0.277777778,724.636886
430,29,12,Mandarin,13,0,83,2,6,0.260869565,0.257142857,1435.61617
872,29,13,Mandarin,13,1,82,2,6,0.231884058,0.225352113,173.380029
1736,21,10,Mandarin,13,0,90,2,6,0.217391304,0.217391304,1286.52779
1044,46,13,Mandarin,13,1,82,2,6,0.217391304,0.214285714,1537.10404
1645,37,12,Mandarin,13,0,83,2,6,0.188405797,0.183098592,1783.01998
2019,20,6,Mandarin,13,1,95,2,6,0.173913043,0.164383562,1648.78303
1909,25,13,Mandarin,13,1,83,2,6,0.173913043,0.169014085,2396.88534
1490,24,4,Mandarin,13,0,97,2,6,0.15942029,0.15942029,649.082987
2129,24,10,Mandarin,13,1,90,2,6,0.15942029,0.15942029,1789.66833
256,26,13,Mandarin,13,1,82,2,6,0.15942029,0.154929577,1657.77294
1636,43,9,Mandarin,13,1,91,2,6,0.144927536,0.133333333,1499.41122
1614,28,12,Mandarin,13,0,83,2,6,0.144927536,0.14084507,1039.04636
260,31,12,Mandarin,13,1,83,2,6,0.144927536,0.14084507,2068.93414
1582,33,12,Mandarin,13,1,83,2,6,0.144927536,0.14084507,1432.67448
1578,31,13,Mandarin,13,1,82,2,6,0.144927536,0.142857143,1405.55066
1793,26,6,Mandarin,13,1,94,2,6,0.130434783,0.128571429,1927.54975
750,32,10,Mandarin,13,0,90,2,6,0.130434783,0.130434783,74.5833048
1990,20,12,Mandarin,13,0,84,2,6,0.130434783,0.128571429,702.111044
1583,24,12,Mandarin,13,1,83,2,6,0.130434783,0.126760563,1381.96194
451,38,12,Mandarin,13,0,83,2,6,0.130434783,0.125,1171.06242
1580,32,10,Mandarin,13,1,90,2,6,0.115942029,0.115942029,1335.76773
1910,26,11,Mandarin,13,1,85,2,6,0.115942029,0.115942029,1336.53614
1491,27,13,Mandarin,13,0,82,2,6,0.115942029,0.114285714,399.786962
1615,34,13,Mandarin,13,1,82,2,6,0.115942029,0.115942029,2261.54921
1900,25,10,Mandarin,13,1,90,2,6,0.101449275,0.101449275,1846.44411
1579,27,12,Mandarin,13,1,83,2,6,0.101449275,0.101449275,1072.77098
2109,41,13,Mandarin,13,1,82,2,6,0.101449275,0.095890411,2174.87678
2173,20,5,Mandarin,13,1,96,2,6,0.086956522,0.084507042,1811.40016
2117,24,7,Mandarin,13,0,93,2,6,0.086956522,0.084507042,450.336124
1644,28,8,Mandarin,13,1,93,2,6,0.086956522,0.086956522,1427.31092
746,28,11,Mandarin,13,1,84,2,6,0.086956522,0.085714286,917.785056
1141,31,12,Mandarin,13,1,83,2,6,0.086956522,0.085714286,1594.56972
1581,32,12,Mandarin,13,1,83,2,6,0.086956522,0.085714286,1586.834
796,26,13,Mandarin,13,0,82,2,6,0.086956522,0.086956522,1251.64271
1519,26,13,Mandarin,13,1,82,2,6,0.086956522,0.085714286,1102.35358
916,27,13,Mandarin,13,0,82,2,6,0.086956522,0.086956522,2643.0371
685,29,13,Mandarin,13,0,82,2,6,0.086956522,0.085714286,846.555745
607,53,13,Mandarin,13,1,82,2,6,0.086956522,0.084507042,1822.64858
257,38,14,Mandarin,13,1,82,2,6,0.086956522,0.086956522,2147.1843
1792,25,10,Mandarin,13,0,90,2,6,0.072463768,0.072463768,1174.02971
258,43,10,Mandarin,13,0,90,2,6,0.072463768,0.072463768,762.45506
719,49,20,Mandarin,13,0,79,2,6,0.072463768,0.071428571,1854.94107
491,19,3,Mandarin,13,0,99,2,6,0.057971014,0.057971014,1148.73057
259,24,6,Mandarin,13,1,94,2,6,0.057971014,0.057971014,1277.49726
1788,25,9,Mandarin,13,0,92,2,6,0.057971014,0.057142857,2635.46732
1527,23,12,Mandarin,13,1,83,2,6,0.057971014,0.057971014,85.8928013
1154,18,15,Mandarin,13,0,81,2,6,0.057971014,0.057142857,643.442207
1019,39,11,Mandarin,13,1,84,2,6,0.043478261,0.043478261,1000.57344
261,28,12,Mandarin,13,1,83,2,6,0.043478261,0.042253521,1537.88043
1447,45,15,Mandarin,13,0,80,2,6,0.043478261,0.043478261,2088.37667
2116,33,16,Mandarin,13,1,79,2,6,0.043478261,0.043478261,1081.88671
